@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2,3}

@data
858,'2022/02/21 23:49:41:636',4,0.339128,0.384261,0.376453,0.199802,0.437148,0.055625,0.384688,0.266658,0.367602,0.265035,0.35099,0.054513,1
859,'2022/02/21 23:49:41:734',4,0.348394,0.389272,0.386649,0.200871,0.447722,0.06243,0.397323,0.265643,0.378689,0.272297,0.362122,0.057696,1
860,'2022/02/21 23:49:41:827',4,0.353111,0.387281,0.390893,0.205313,0.457089,0.06192,0.405019,0.265428,0.385326,0.26996,0.369353,0.057677,1
861,'2022/02/21 23:49:41:927',4,0.355521,0.386375,0.399519,0.199571,0.461557,0.064924,0.406068,0.264386,0.387947,0.274769,0.371912,0.060635,1
862,'2022/02/21 23:49:42:027',4,0.358024,0.385276,0.399377,0.198914,0.464636,0.060785,0.40928,0.265203,0.389456,0.275943,0.371755,0.058672,1
863,'2022/02/21 23:49:42:126',4,0.357148,0.387091,0.403118,0.198579,0.466282,0.061817,0.406669,0.267051,0.389055,0.274591,0.374775,0.057769,1
864,'2022/02/21 23:49:42:225',4,0.361071,0.380424,0.402621,0.194668,0.4662,0.057953,0.412656,0.263373,0.392271,0.269883,0.376921,0.056632,1
865,'2022/02/21 23:49:42:325',4,0.365272,0.380839,0.406007,0.190982,0.470568,0.055089,0.416181,0.260044,0.396778,0.26682,0.380874,0.050207,1
866,'2022/02/21 23:49:42:436',4,0.369616,0.374186,0.410459,0.187459,0.476859,0.051972,0.419242,0.253301,0.400832,0.262433,0.388804,0.045908,1
867,'2022/02/21 23:49:42:523',4,0.374824,0.37125,0.415525,0.184641,0.482544,0.050748,0.424303,0.254997,0.40571,0.26352,0.394381,0.045641,1
868,'2022/02/21 23:49:42:623',4,0.380776,0.372386,0.423952,0.184669,0.489617,0.04902,0.430964,0.258183,0.412336,0.265432,0.400272,0.045346,1
869,'2022/02/21 23:49:42:722',4,0.383013,0.372918,0.427744,0.185272,0.494182,0.050796,0.435087,0.256035,0.415824,0.266339,0.40492,0.045577,1
870,'2022/02/21 23:49:42:822',4,0.38439,0.372769,0.429766,0.188812,0.492472,0.051481,0.432647,0.261169,0.41706,0.26672,0.406065,0.046944,1
871,'2022/02/21 23:49:42:915',4,0.380265,0.369951,0.424571,0.192847,0.487917,0.047834,0.426384,0.260121,0.410727,0.264597,0.401599,0.045088,1
872,'2022/02/21 23:49:43:016',4,0.374213,0.371699,0.418684,0.191157,0.480026,0.045594,0.420936,0.2521,0.405741,0.258512,0.391499,0.042583,1
873,'2022/02/21 23:49:43:115',4,0.367907,0.369513,0.410706,0.187315,0.471474,0.041792,0.411947,0.2561,0.39738,0.255875,0.383257,0.041447,1
874,'2022/02/21 23:49:43:214',4,0.35793,0.367317,0.401298,0.182178,0.461118,0.040481,0.404927,0.245708,0.388251,0.250743,0.37278,0.038378,1
875,'2022/02/21 23:49:43:313',4,0.352695,0.366274,0.393052,0.183987,0.452692,0.036629,0.395655,0.252157,0.38008,0.250974,0.364747,0.035881,1
876,'2022/02/21 23:49:43:412',4,0.34766,0.367635,0.382621,0.189845,0.446992,0.042358,0.388149,0.253533,0.374743,0.250701,0.358869,0.040791,1
