@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2,3}

@data
1295,'2022/02/21 23:50:31:987',5,0.52214,0.309292,0.557727,0.159124,0.594533,0.052204,0.558514,0.210984,0.549187,0.223099,0.532167,0.053919,2
1294,'2022/02/21 23:50:31:887',5,0.518972,0.310685,0.555048,0.158529,0.589992,0.050523,0.555882,0.212714,0.545618,0.221287,0.52644,0.052538,2
1293,'2022/02/21 23:50:31:793',5,0.515702,0.314,0.549615,0.156749,0.584789,0.047397,0.552406,0.207547,0.542121,0.219632,0.522963,0.049353,2
1292,'2022/02/21 23:50:31:693',5,0.516429,0.316772,0.551546,0.156811,0.585852,0.044331,0.55267,0.210797,0.544058,0.221249,0.523843,0.046208,2
1291,'2022/02/21 23:50:31:593',5,0.52073,0.32201,0.553552,0.154331,0.59033,0.044312,0.556385,0.210112,0.547177,0.222966,0.527012,0.043825,2
1290,'2022/02/21 23:50:31:495',5,0.522766,0.322901,0.55777,0.155507,0.59504,0.040682,0.559893,0.212028,0.549211,0.222609,0.528015,0.041641,2
1289,'2022/02/21 23:50:31:395',5,0.523996,0.333778,0.560758,0.156986,0.597896,0.044135,0.560978,0.217852,0.551437,0.22949,0.528311,0.043412,2
1288,'2022/02/21 23:50:31:297',5,0.525334,0.344172,0.561311,0.163883,0.599041,0.046951,0.562308,0.223987,0.551642,0.237248,0.527086,0.051038,2
1287,'2022/02/21 23:50:31:198',5,0.524639,0.355063,0.561509,0.178378,0.599371,0.051584,0.563816,0.235311,0.55206,0.249672,0.524389,0.060132,2
1286,'2022/02/21 23:50:31:099',5,0.521183,0.361525,0.555222,0.184541,0.594579,0.051179,0.558233,0.241659,0.548313,0.254712,0.519648,0.058699,2
1285,'2022/02/21 23:50:31:000',5,0.519097,0.360801,0.554643,0.185735,0.591809,0.048708,0.556725,0.240867,0.546905,0.252889,0.517401,0.055635,2
1284,'2022/02/21 23:50:30:900',5,0.518449,0.358253,0.552017,0.169957,0.590544,0.038521,0.555832,0.230033,0.545037,0.246184,0.514971,0.044415,2
1283,'2022/02/21 23:50:30:800',5,0.520301,0.347932,0.554229,0.163565,0.594019,0.028417,0.557487,0.218488,0.54696,0.236048,0.511041,0.036815,2
1282,'2022/02/21 23:50:30:701',5,0.523825,0.342839,0.557591,0.161511,0.604306,0.03035,0.563945,0.205475,0.550487,0.231198,0.505204,0.034616,2
1281,'2022/02/21 23:50:30:602',5,0.522208,0.340943,0.556516,0.157201,0.610498,0.034347,0.560822,0.209891,0.547188,0.229171,0.504226,0.036441,2
1280,'2022/02/21 23:50:30:503',5,0.521605,0.343921,0.560108,0.155201,0.616881,0.042689,0.561441,0.20684,0.548192,0.229784,0.507941,0.033237,2
1279,'2022/02/21 23:50:30:404',5,0.525623,0.342153,0.568381,0.162815,0.627796,0.054269,0.566928,0.204185,0.553742,0.232205,0.514387,0.033647,2
1278,'2022/02/21 23:50:30:306',5,0.532515,0.343502,0.577253,0.166095,0.641292,0.063281,0.574989,0.214183,0.561707,0.235862,0.527999,0.034017,2
1277,'2022/02/21 23:50:30:206',5,0.537483,0.340394,0.581607,0.167212,0.648354,0.06915,0.583887,0.21571,0.569473,0.23435,0.532694,0.034449,2
1276,'2022/02/21 23:50:30:107',5,0.538749,0.337228,0.583611,0.162833,0.650532,0.067674,0.584842,0.208214,0.571801,0.231295,0.536865,0.030978,2
1275,'2022/02/21 23:50:30:008',5,0.543054,0.334207,0.591504,0.162046,0.657918,0.051075,0.593106,0.203375,0.57887,0.228332,0.544433,0.028971,2
1274,'2022/02/21 23:50:29:907',5,0.546956,0.333817,0.601526,0.167404,0.669961,0.046936,0.600041,0.214499,0.587095,0.234726,0.556806,0.028086,2
1273,'2022/02/21 23:50:29:808',5,0.547808,0.337862,0.60301,0.175808,0.669765,0.041708,0.600449,0.226355,0.588528,0.240573,0.558845,0.032071,2
1272,'2022/02/21 23:50:29:709',5,0.547717,0.340496,0.603266,0.177963,0.668813,0.042509,0.600738,0.232328,0.587431,0.243801,0.55764,0.035195,2
1271,'2022/02/21 23:50:29:616',5,0.545579,0.341229,0.60023,0.175311,0.664995,0.037852,0.598475,0.221055,0.585093,0.242024,0.555821,0.033462,2
1270,'2022/02/21 23:50:29:517',5,0.546946,0.344798,0.60234,0.17918,0.66518,0.044926,0.60027,0.22391,0.586412,0.249293,0.558256,0.042355,2
1269,'2022/02/21 23:50:29:417',5,0.550915,0.354458,0.605901,0.19146,0.666538,0.056593,0.600891,0.251203,0.589529,0.261066,0.561359,0.055282,2
1268,'2022/02/21 23:50:29:319',5,0.551006,0.365718,0.604815,0.202434,0.664336,0.067778,0.605074,0.258862,0.590828,0.274009,0.560923,0.064797,2
1267,'2022/02/21 23:50:29:219',5,0.548789,0.368982,0.60714,0.205269,0.663116,0.071038,0.600414,0.272074,0.590758,0.281399,0.560438,0.075264,2
1266,'2022/02/21 23:50:29:120',5,0.549621,0.380771,0.608414,0.221783,0.667059,0.07681,0.606719,0.268815,0.591675,0.288882,0.563316,0.083435,2
1265,'2022/02/21 23:50:29:020',5,0.549833,0.379151,0.607893,0.225537,0.673298,0.077754,0.607427,0.267498,0.590903,0.28764,0.565003,0.081342,2
1264,'2022/02/21 23:50:28:921',5,0.548221,0.374803,0.609296,0.218213,0.676758,0.077811,0.606119,0.269414,0.590238,0.283708,0.566181,0.07669,2
1263,'2022/02/21 23:50:28:822',5,0.543336,0.370756,0.610425,0.216587,0.673272,0.076336,0.600425,0.283265,0.588589,0.286268,0.56667,0.078237,2
1262,'2022/02/21 23:50:28:722',5,0.540005,0.381804,0.605119,0.233257,0.672691,0.086217,0.597718,0.294734,0.585524,0.300197,0.56921,0.086454,2
1261,'2022/02/21 23:50:28:623',5,0.534298,0.389681,0.599261,0.248422,0.669134,0.093342,0.595333,0.303756,0.580054,0.308498,0.563624,0.097602,2
1260,'2022/02/21 23:50:28:523',5,0.528235,0.394091,0.590828,0.249232,0.661183,0.10042,0.588404,0.308707,0.573472,0.310373,0.556071,0.099403,2
1259,'2022/02/21 23:50:28:424',5,0.521697,0.402665,0.582436,0.263547,0.654117,0.110964,0.578702,0.315178,0.565289,0.319472,0.547311,0.111736,2
1258,'2022/02/21 23:50:28:324',5,0.513674,0.409039,0.576044,0.267117,0.644273,0.117878,0.570172,0.31532,0.55537,0.323571,0.537258,0.118519,2
1257,'2022/02/21 23:50:28:225',5,0.507933,0.40569,0.565055,0.263359,0.635508,0.109616,0.564283,0.304484,0.546902,0.321476,0.528764,0.111471,2
1256,'2022/02/21 23:50:28:138',5,0.505931,0.399531,0.565661,0.261686,0.633416,0.100726,0.561592,0.30067,0.545468,0.316655,0.527117,0.10957,2
1255,'2022/02/21 23:50:28:083',5,0.507395,0.397372,0.565405,0.254219,0.634992,0.099844,0.5619,0.300158,0.546614,0.312088,0.529925,0.105786,2
1254,'2022/02/21 23:50:27:963',5,0.50778,0.390773,0.567163,0.243301,0.634651,0.094953,0.565531,0.28464,0.549563,0.302919,0.53222,0.094917,2
1253,'2022/02/21 23:50:27:863',5,0.508776,0.376518,0.56453,0.222456,0.632331,0.077031,0.566692,0.26785,0.548654,0.285278,0.529552,0.076826,2
1252,'2022/02/21 23:50:27:770',5,0.508194,0.363602,0.566072,0.207668,0.631686,0.063561,0.567656,0.25567,0.548892,0.272463,0.528298,0.058645,2
1251,'2022/02/21 23:50:27:666',5,0.508146,0.359145,0.568941,0.198031,0.630372,0.060066,0.565336,0.256578,0.548162,0.267852,0.527322,0.056876,2
1250,'2022/02/21 23:50:27:567',5,0.504384,0.356633,0.568209,0.193118,0.625061,0.053291,0.561803,0.247123,0.544947,0.261307,0.522223,0.051227,2
1249,'2022/02/21 23:50:27:467',5,0.502011,0.34625,0.560371,0.1817,0.62268,0.040215,0.558075,0.242835,0.541991,0.250427,0.516682,0.038007,2
1248,'2022/02/21 23:50:27:368',5,0.49891,0.342443,0.560502,0.175523,0.620957,0.036661,0.556122,0.234046,0.539826,0.246264,0.5167,0.031978,2
1247,'2022/02/21 23:50:27:269',5,0.499068,0.343608,0.562581,0.173528,0.620804,0.035583,0.558035,0.23523,0.539469,0.248981,0.515989,0.035163,2
1246,'2022/02/21 23:50:27:170',5,0.500027,0.343936,0.56854,0.185979,0.622751,0.034672,0.5586,0.225395,0.540598,0.247703,0.519702,0.036081,2
1245,'2022/02/21 23:50:27:070',5,0.50329,0.34307,0.571238,0.174521,0.625696,0.035856,0.559456,0.235006,0.543019,0.245065,0.524062,0.03136,2
1244,'2022/02/21 23:50:26:973',5,0.508434,0.338695,0.57519,0.18255,0.635502,0.035761,0.567486,0.230188,0.551089,0.241926,0.533789,0.028463,2
1243,'2022/02/21 23:50:26:873',5,0.516166,0.333876,0.591323,0.179221,0.644524,0.034562,0.574952,0.232975,0.559982,0.238414,0.54405,0.02562,2
1242,'2022/02/21 23:50:26:774',5,0.524403,0.328986,0.603692,0.167988,0.653804,0.033715,0.58258,0.236728,0.5709,0.236965,0.555408,0.02254,2
1241,'2022/02/21 23:50:26:674',5,0.532481,0.326766,0.607717,0.175671,0.665203,0.031472,0.592641,0.226422,0.579466,0.236079,0.567466,0.019688,2
1240,'2022/02/21 23:50:26:575',5,0.537937,0.324742,0.60799,0.178581,0.673195,0.035041,0.597696,0.231798,0.586169,0.236037,0.576576,0.019249,2
1239,'2022/02/21 23:50:26:474',5,0.540183,0.323083,0.607926,0.173736,0.675385,0.034484,0.60086,0.229518,0.590235,0.237042,0.578856,0.018737,2
1238,'2022/02/21 23:50:26:382',5,0.539588,0.325527,0.608316,0.175547,0.674794,0.03469,0.60063,0.230295,0.589016,0.236384,0.577835,0.022201,2
1237,'2022/02/21 23:50:26:283',5,0.540235,0.3284,0.610333,0.173853,0.675161,0.039717,0.599079,0.234535,0.589042,0.240378,0.578075,0.025022,2
1236,'2022/02/21 23:50:26:183',5,0.541318,0.336775,0.612445,0.187091,0.676386,0.046733,0.601661,0.239711,0.592651,0.248304,0.579898,0.036085,2
1235,'2022/02/21 23:50:26:084',5,0.54358,0.348121,0.615435,0.200781,0.679271,0.060585,0.604099,0.256095,0.595158,0.262496,0.583974,0.049349,2
1234,'2022/02/21 23:50:25:984',5,0.546161,0.36005,0.621531,0.208808,0.683238,0.072293,0.60685,0.273844,0.597083,0.276488,0.588082,0.065117,2
1233,'2022/02/21 23:50:25:885',5,0.546857,0.369758,0.6175,0.229276,0.68411,0.080525,0.609077,0.282573,0.595905,0.288226,0.591571,0.080282,2
1232,'2022/02/21 23:50:25:785',5,0.547203,0.372257,0.618548,0.230395,0.683866,0.08402,0.607896,0.289166,0.595562,0.294087,0.590616,0.083412,2
1231,'2022/02/21 23:50:25:686',5,0.543708,0.375395,0.611704,0.231894,0.680135,0.087457,0.606054,0.288011,0.593226,0.296402,0.584708,0.087314,2
1230,'2022/02/21 23:50:25:587',5,0.540436,0.380765,0.611784,0.235838,0.676461,0.091529,0.601543,0.29535,0.588382,0.299503,0.579888,0.096963,2
1229,'2022/02/21 23:50:25:487',5,0.540093,0.385615,0.609147,0.24281,0.675194,0.097202,0.601391,0.297207,0.586457,0.305452,0.578511,0.101881,2
1228,'2022/02/21 23:50:25:388',5,0.539519,0.389772,0.608031,0.244095,0.672464,0.094955,0.601327,0.290539,0.585148,0.306115,0.575372,0.104636,2
1227,'2022/02/21 23:50:25:289',5,0.537926,0.381563,0.609268,0.233457,0.670267,0.084421,0.601203,0.284867,0.583943,0.299784,0.573251,0.09292,2
1226,'2022/02/21 23:50:25:189',5,0.53802,0.377293,0.604689,0.228992,0.670083,0.082938,0.598949,0.28839,0.583238,0.295947,0.572278,0.085753,2
1225,'2022/02/21 23:50:25:090',5,0.534767,0.377921,0.599004,0.228125,0.665955,0.083452,0.597014,0.278395,0.579829,0.294218,0.569673,0.084273,2
1224,'2022/02/21 23:50:24:991',5,0.530537,0.375883,0.591628,0.219118,0.658143,0.080777,0.592382,0.266879,0.573896,0.287576,0.560744,0.083652,2
1223,'2022/02/21 23:50:24:891',5,0.52534,0.36837,0.587514,0.207529,0.651616,0.072726,0.5827,0.270346,0.56648,0.281224,0.556686,0.07654,2
1222,'2022/02/21 23:50:24:798',5,0.521588,0.367484,0.581,0.21494,0.64454,0.068857,0.57959,0.267908,0.562854,0.28206,0.549078,0.065624,2
1221,'2022/02/21 23:50:24:698',5,0.516531,0.366905,0.575507,0.22206,0.63632,0.066197,0.573012,0.273936,0.557422,0.282239,0.539399,0.066004,2
1220,'2022/02/21 23:50:24:599',5,0.50998,0.368363,0.570222,0.218759,0.627896,0.068411,0.566893,0.275658,0.551965,0.284405,0.532282,0.064713,2
1219,'2022/02/21 23:50:24:504',5,0.504315,0.372897,0.563034,0.224483,0.623805,0.069455,0.558852,0.279724,0.546438,0.285457,0.527324,0.061828,2
1218,'2022/02/21 23:50:24:366',5,0.501674,0.376095,0.559376,0.2286,0.621772,0.071379,0.55611,0.282008,0.542234,0.288177,0.524855,0.065475,2
1217,'2022/02/21 23:50:24:265',5,0.500311,0.380128,0.557945,0.233728,0.619745,0.072911,0.557267,0.276543,0.541944,0.292991,0.52236,0.069295,2
1216,'2022/02/21 23:50:24:167',5,0.501009,0.380148,0.558666,0.226771,0.618811,0.071527,0.55676,0.277826,0.541717,0.291318,0.520175,0.070586,2
1215,'2022/02/21 23:50:24:068',5,0.502216,0.374906,0.558248,0.223652,0.617733,0.067311,0.559573,0.264666,0.543298,0.28526,0.520748,0.067343,2
1214,'2022/02/21 23:50:23:969',5,0.502518,0.366149,0.555869,0.217039,0.615516,0.056062,0.559065,0.256233,0.543307,0.274928,0.518467,0.056666,2
1213,'2022/02/21 23:50:23:870',5,0.501332,0.360833,0.558658,0.20109,0.613272,0.049086,0.557292,0.251702,0.541453,0.267198,0.514598,0.049095,2
1212,'2022/02/21 23:50:23:771',5,0.498602,0.356389,0.555449,0.201058,0.610261,0.040494,0.555034,0.244051,0.538447,0.262734,0.51237,0.039682,2
1211,'2022/02/21 23:50:23:670',5,0.496767,0.352385,0.557575,0.195915,0.609392,0.035664,0.552151,0.242254,0.536186,0.258164,0.5133,0.037077,2
1210,'2022/02/21 23:50:23:577',5,0.499645,0.350031,0.564228,0.189067,0.612951,0.034556,0.554815,0.237363,0.539814,0.253511,0.517363,0.035211,2
1209,'2022/02/21 23:50:23:477',5,0.503042,0.347157,0.5662,0.191073,0.618405,0.034085,0.557846,0.243863,0.543299,0.251133,0.522312,0.030014,2
1208,'2022/02/21 23:50:23:378',5,0.509396,0.347082,0.576066,0.191623,0.62589,0.036759,0.566429,0.242418,0.552047,0.256023,0.53139,0.03112,2
1207,'2022/02/21 23:50:23:279',5,0.512138,0.349842,0.579507,0.196283,0.631814,0.04258,0.571024,0.248953,0.555989,0.257771,0.537581,0.035914,2
1206,'2022/02/21 23:50:23:179',5,0.515859,0.343389,0.584646,0.193684,0.639105,0.037056,0.574526,0.243701,0.559203,0.251734,0.543341,0.029654,2
1205,'2022/02/21 23:50:23:080',5,0.521992,0.340253,0.590133,0.187765,0.645941,0.033851,0.580875,0.243189,0.566564,0.249592,0.550891,0.027303,2
1204,'2022/02/21 23:50:22:981',5,0.524986,0.338413,0.595624,0.188561,0.648751,0.032446,0.584778,0.240621,0.572402,0.247172,0.556451,0.024846,2
1203,'2022/02/21 23:50:22:882',5,0.528471,0.336303,0.601968,0.179192,0.652097,0.031956,0.585287,0.242039,0.57427,0.2489,0.559438,0.023089,2
1202,'2022/02/21 23:50:22:783',5,0.531246,0.337641,0.603336,0.185508,0.656307,0.035318,0.58867,0.243384,0.578741,0.249538,0.564858,0.025665,2
1201,'2022/02/21 23:50:22:683',5,0.535524,0.339225,0.611059,0.189765,0.663754,0.036498,0.595766,0.240794,0.583866,0.251415,0.571585,0.027301,2
1200,'2022/02/21 23:50:22:584',5,0.539261,0.334389,0.61131,0.19134,0.669248,0.033217,0.600211,0.234734,0.588136,0.246246,0.57625,0.024196,2
1199,'2022/02/21 23:50:22:485',5,0.541679,0.330958,0.610712,0.190034,0.670666,0.031018,0.601025,0.23958,0.590011,0.245192,0.5782,0.02005,2
1198,'2022/02/21 23:50:22:386',5,0.542431,0.331612,0.611621,0.184217,0.67127,0.034231,0.599793,0.242082,0.590735,0.245255,0.578966,0.022066,2
1197,'2022/02/21 23:50:22:287',5,0.542936,0.337972,0.613531,0.194252,0.672332,0.04144,0.601378,0.251016,0.592714,0.251918,0.580398,0.02858,2
1196,'2022/02/21 23:50:22:187',5,0.544867,0.33993,0.61383,0.19922,0.675394,0.05049,0.602443,0.261303,0.592996,0.260564,0.583516,0.036103,2
1195,'2022/02/21 23:50:22:088',5,0.545234,0.345201,0.614678,0.203541,0.675582,0.05368,0.604121,0.263451,0.592411,0.263067,0.583932,0.039586,2
1194,'2022/02/21 23:50:21:989',5,0.54484,0.34606,0.614609,0.201248,0.674428,0.053837,0.603861,0.261493,0.592607,0.263542,0.58255,0.042556,2
1193,'2022/02/21 23:50:21:889',5,0.54395,0.347967,0.613601,0.209911,0.672771,0.056916,0.60163,0.266211,0.591038,0.266954,0.582031,0.041845,2
1192,'2022/02/21 23:50:21:789',5,0.543844,0.35188,0.614472,0.214082,0.673757,0.058228,0.604705,0.262596,0.592612,0.268441,0.584167,0.04597,2
1191,'2022/02/21 23:50:21:696',5,0.544609,0.350619,0.6169,0.212534,0.67499,0.056294,0.606125,0.257597,0.594383,0.265067,0.585594,0.044732,2
1190,'2022/02/21 23:50:21:597',5,0.547256,0.346861,0.61813,0.20113,0.676868,0.05212,0.609297,0.255407,0.596875,0.262523,0.58711,0.045608,2
1189,'2022/02/21 23:50:21:498',5,0.548264,0.341118,0.617566,0.196004,0.67719,0.045436,0.608731,0.250691,0.596441,0.257662,0.586624,0.038809,2
1188,'2022/02/21 23:50:21:398',5,0.548574,0.338729,0.6216,0.194508,0.680103,0.044905,0.611122,0.247133,0.599271,0.254502,0.58892,0.034343,2
1187,'2022/02/21 23:50:21:298',5,0.551273,0.332607,0.622735,0.188595,0.682419,0.040586,0.610815,0.245994,0.600626,0.246827,0.592515,0.025574,2
1186,'2022/02/21 23:50:21:204',5,0.554937,0.329538,0.624843,0.183147,0.684685,0.038424,0.615352,0.23954,0.603834,0.24277,0.595459,0.019993,2
1185,'2022/02/21 23:50:21:066',5,0.555922,0.323211,0.624141,0.179439,0.683694,0.033834,0.614921,0.232896,0.603681,0.238274,0.596664,0.017451,2
1184,'2022/02/21 23:50:20:966',5,0.553153,0.321337,0.621046,0.179076,0.680049,0.028225,0.612117,0.232,0.601358,0.234187,0.593611,0.011014,2
1183,'2022/02/21 23:50:20:866',5,0.551717,0.319578,0.618918,0.170338,0.677593,0.026347,0.610269,0.230779,0.600308,0.23483,0.589582,0.011122,2
1182,'2022/02/21 23:50:20:773',5,0.550154,0.320695,0.616389,0.171186,0.675741,0.025994,0.609319,0.22882,0.597448,0.233845,0.587581,0.007195,2
1181,'2022/02/21 23:50:20:672',5,0.547364,0.323569,0.611348,0.175187,0.67178,0.025137,0.606027,0.227012,0.595036,0.236227,0.583408,0.013232,2
1180,'2022/02/21 23:50:20:573',5,0.54094,0.325012,0.60374,0.178208,0.661526,0.021999,0.598525,0.227706,0.587704,0.236203,0.575732,0.009437,2
1179,'2022/02/21 23:50:20:474',5,0.533007,0.324862,0.597653,0.164561,0.653937,0.02402,0.588663,0.232096,0.579456,0.238133,0.564236,-0.001507,2
1178,'2022/02/21 23:50:20:375',5,0.529055,0.330681,0.596403,0.177883,0.651093,0.029673,0.58685,0.239287,0.575049,0.244047,0.560837,0.019786,2
1177,'2022/02/21 23:50:20:276',5,0.530461,0.333032,0.596151,0.184903,0.650925,0.031182,0.589172,0.24193,0.576934,0.247614,0.561122,0.024855,2
1176,'2022/02/21 23:50:20:176',5,0.531427,0.33362,0.596155,0.181768,0.652061,0.034029,0.58865,0.243984,0.577589,0.250682,0.56097,0.027595,2
1175,'2022/02/21 23:50:20:076',5,0.529194,0.340575,0.597146,0.187189,0.650927,0.038118,0.587997,0.248938,0.575699,0.253971,0.560189,0.031308,2
1174,'2022/02/21 23:50:19:977',5,0.529709,0.342939,0.598941,0.189058,0.652513,0.039216,0.588665,0.252101,0.578268,0.257452,0.561461,0.032681,2
1173,'2022/02/21 23:50:19:878',5,0.530931,0.344176,0.596574,0.186315,0.653571,0.041515,0.589081,0.253685,0.577887,0.256307,0.561367,0.037205,2
1172,'2022/02/21 23:50:19:779',5,0.531212,0.344188,0.595479,0.190238,0.651982,0.04009,0.589431,0.250789,0.575344,0.257524,0.561424,0.036782,2
1171,'2022/02/21 23:50:19:680',5,0.529775,0.342002,0.596139,0.183542,0.647599,0.037473,0.586258,0.249746,0.572151,0.254884,0.556489,0.035518,2
1170,'2022/02/21 23:50:19:580',5,0.524839,0.341339,0.586722,0.191373,0.641855,0.036831,0.58249,0.245076,0.567501,0.254686,0.550886,0.03331,2
1169,'2022/02/21 23:50:19:481',5,0.519843,0.342574,0.58207,0.184144,0.635992,0.03727,0.575976,0.246291,0.561621,0.254819,0.543067,0.034374,2
1168,'2022/02/21 23:50:19:381',5,0.515251,0.345464,0.572978,0.190988,0.629435,0.03744,0.57174,0.245153,0.55614,0.255235,0.537816,0.03626,2
1167,'2022/02/21 23:50:19:280',5,0.511875,0.345199,0.570791,0.188812,0.624139,0.036307,0.568132,0.244166,0.552459,0.25468,0.531767,0.033848,2
1166,'2022/02/21 23:50:19:183',5,0.507833,0.34571,0.568019,0.183073,0.618358,0.03431,0.563463,0.242784,0.54769,0.253255,0.524889,0.033597,2
1165,'2022/02/21 23:50:19:090',5,0.502428,0.3441,0.557429,0.184558,0.612776,0.030251,0.555946,0.24412,0.54148,0.249769,0.518273,0.029554,2
1164,'2022/02/21 23:50:18:990',5,0.499064,0.344676,0.557565,0.18354,0.610912,0.030124,0.554152,0.238111,0.541063,0.24801,0.517924,0.027739,2
1163,'2022/02/21 23:50:18:890',5,0.500679,0.342417,0.557904,0.184361,0.612005,0.031959,0.556036,0.238551,0.542175,0.250081,0.518528,0.028942,2
1162,'2022/02/21 23:50:18:791',5,0.500601,0.346752,0.55489,0.191695,0.612073,0.035303,0.554576,0.244226,0.540914,0.253362,0.517735,0.033261,2
1161,'2022/02/21 23:50:18:692',5,0.499472,0.348577,0.553711,0.196088,0.609796,0.038796,0.551963,0.252107,0.538626,0.256596,0.516157,0.036326,2
1160,'2022/02/21 23:50:18:593',5,0.495804,0.352004,0.553934,0.192259,0.608145,0.043058,0.547777,0.252093,0.537215,0.261101,0.513986,0.039112,2
1159,'2022/02/21 23:50:18:492',5,0.497298,0.362274,0.559025,0.201743,0.609422,0.05412,0.549805,0.265527,0.537438,0.273905,0.516043,0.051025,2
1158,'2022/02/21 23:50:18:393',5,0.496898,0.372485,0.556751,0.217864,0.609825,0.064507,0.550455,0.274309,0.53733,0.285368,0.517024,0.062404,2
1157,'2022/02/21 23:50:18:293',5,0.496712,0.379274,0.554412,0.228684,0.610193,0.071586,0.55229,0.273341,0.537219,0.29213,0.515932,0.070862,2
1156,'2022/02/21 23:50:18:195',5,0.496131,0.381576,0.555162,0.233605,0.61051,0.074281,0.54945,0.282923,0.536785,0.293892,0.515763,0.076261,2
1155,'2022/02/21 23:50:18:095',5,0.496621,0.382344,0.556295,0.234081,0.610615,0.074499,0.552296,0.279123,0.537134,0.295825,0.515956,0.076601,2
1154,'2022/02/21 23:50:17:996',5,0.500398,0.382421,0.555864,0.236846,0.613816,0.073977,0.552886,0.279548,0.538959,0.293873,0.518056,0.080991,2
1153,'2022/02/21 23:50:17:904',5,0.502368,0.376405,0.56033,0.225748,0.614683,0.063554,0.556191,0.268929,0.542024,0.286734,0.521264,0.067265,2
1152,'2022/02/21 23:50:17:800',5,0.503077,0.367858,0.561064,0.212699,0.61339,0.053936,0.557276,0.262366,0.542359,0.274434,0.521689,0.05809,2
1151,'2022/02/21 23:50:17:700',5,0.502525,0.357233,0.564216,0.202028,0.613516,0.043577,0.557362,0.251389,0.543899,0.265104,0.520646,0.044533,2
1150,'2022/02/21 23:50:17:600',5,0.502832,0.351736,0.56095,0.198,0.612006,0.036501,0.558781,0.246559,0.544088,0.25834,0.520194,0.040488,2
1149,'2022/02/21 23:50:17:501',5,0.502349,0.345727,0.557812,0.191785,0.610584,0.029736,0.556433,0.239728,0.543259,0.250864,0.519003,0.033825,2
1148,'2022/02/21 23:50:17:409',5,0.500611,0.344152,0.557735,0.180353,0.609813,0.030077,0.555783,0.240648,0.541812,0.249755,0.517388,0.030513,2
1147,'2022/02/21 23:50:17:309',5,0.499663,0.344995,0.559353,0.18333,0.608761,0.029035,0.554205,0.23988,0.541744,0.251651,0.517049,0.031757,2
1146,'2022/02/21 23:50:17:203',5,0.499414,0.345727,0.55994,0.184163,0.60843,0.030271,0.553018,0.23783,0.541803,0.249656,0.51827,0.02873,2
1145,'2022/02/21 23:50:17:109',5,0.502887,0.348215,0.565617,0.185791,0.61288,0.032324,0.55524,0.247506,0.54512,0.254216,0.522961,0.030539,2
1144,'2022/02/21 23:50:17:005',5,0.507804,0.352634,0.572123,0.194112,0.619299,0.040368,0.560902,0.254276,0.549396,0.26,0.531202,0.038133,2
1143,'2022/02/21 23:50:16:905',5,0.512584,0.35507,0.579341,0.201385,0.626961,0.04255,0.569303,0.253384,0.555932,0.258513,0.537301,0.042762,2
1142,'2022/02/21 23:50:16:806',5,0.517255,0.350194,0.586296,0.202416,0.637238,0.042986,0.575511,0.254803,0.56283,0.260662,0.546875,0.042938,2
1141,'2022/02/21 23:50:16:713',5,0.523,0.347271,0.592767,0.197954,0.64415,0.042364,0.582735,0.250721,0.568714,0.259801,0.556218,0.040039,2
1140,'2022/02/21 23:50:16:614',5,0.527784,0.343869,0.600874,0.188357,0.65156,0.040172,0.584417,0.256115,0.575515,0.253727,0.563918,0.035336,2
1139,'2022/02/21 23:50:16:514',5,0.534129,0.340925,0.609852,0.185105,0.658972,0.041163,0.591037,0.252015,0.58048,0.253968,0.572101,0.032353,2
1138,'2022/02/21 23:50:16:415',5,0.538521,0.337325,0.611064,0.192179,0.665506,0.037994,0.598211,0.242506,0.585399,0.249644,0.580364,0.02904,2
1137,'2022/02/21 23:50:16:316',5,0.54217,0.332833,0.613144,0.188615,0.669425,0.033635,0.601412,0.242001,0.59103,0.247244,0.584799,0.024856,2
1136,'2022/02/21 23:50:16:216',5,0.543395,0.330532,0.614035,0.187715,0.67168,0.033984,0.602907,0.245486,0.591273,0.248006,0.585527,0.026639,2
1135,'2022/02/21 23:50:16:116',5,0.543978,0.336141,0.61505,0.186163,0.672104,0.036935,0.604368,0.246537,0.59431,0.249933,0.584984,0.028996,2
1134,'2022/02/21 23:50:16:017',5,0.544111,0.343832,0.616126,0.197866,0.672766,0.045668,0.603562,0.253078,0.595054,0.256308,0.585194,0.040533,2
1133,'2022/02/21 23:50:15:917',5,0.544581,0.353799,0.614264,0.205739,0.671513,0.057897,0.602587,0.265671,0.594429,0.266984,0.585147,0.050576,2
1132,'2022/02/21 23:50:15:818',5,0.544622,0.364866,0.616807,0.216707,0.673133,0.068758,0.604383,0.27758,0.59573,0.281179,0.585898,0.062601,2
1131,'2022/02/21 23:50:15:719',5,0.544104,0.374599,0.61712,0.235827,0.672821,0.079492,0.603221,0.289735,0.593478,0.291573,0.589196,0.073728,2
